Location,Price,İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Krediye Uygun,Isıtma Tipi,Bina Yaşı,"Görüntülü Ev Gezintisi
?",Mobilya Durumu,Kullanım Durumu,Yapının Durumu,Depozito,Aidat,Kimden,Konut Şekli,Hayvan Dostu Patili Evler,Tapu Durumu,m²,Bölüm/Oda Sayısı,Kapalı Alan,Yapı Tipi,Dış Cephe,Zemin Etüdlü,Ada,Parsel,Otopark,Devren,Tavan Yüksekliği,Arsa Alanı,Takasa Uygun,Kat Yüksekliği,Yıldız Sayısı,Kapasite,Kiralama Süresi,İmar Durumu,Parselli
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ali Kuşçu, Fatih
, İstanbul",45.000 TL,22 Haziran 2024,4952455,152,180m²,,2,4,,Hayır,Kombi (Doğalgaz),6-10 arası,,,Boş,İkinci El,90.000 TL,0 TL (aylık),Danışman,,,Kat Mülkiyeti,,,,,,Evet,2117,3,,,,,,,,,,,
"Akat, Beşiktaş
, İstanbul",50.000 TL,22 Haziran 2024,4821051,70,80m²,2+1,1,5,Yüksek Giriş,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Sadece Beyaz Eşya,Boş,Sıfır,,,Danışman,Giriş Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merkez, Güngören
, İstanbul",35.000 TL,22 Haziran 2024,5086425,110,130m²,3+1,1,8,7,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,Eşyasız,Boş,İkinci El,35.000 TL,1.500 TL (aylık),Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Valide-i Atik, Üsküdar
, İstanbul",25.000 TL,22 Haziran 2024,5071547,75,80m²,2+1,1,3,1,Hayır,Kombi (Doğalgaz),31-35 arası,?,Eşyasız,,İkinci El,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Valide-i Atik, Üsküdar
, İstanbul",25.000 TL,22 Haziran 2024,5071564,75,80m²,,1,3,,Hayır,Kombi (Doğalgaz),31-35 arası,,,Boş,İkinci El,,,Danışman,,,,,,,,,,,,,,,,,,,,,,
"Kocasinan Merkez, Bahçelievler
, İstanbul",75.000 TL,22 Haziran 2024,5008913,,,,,6,,Hayır,Kombi (Doğalgaz),11-15 arası,,,Boş,,100.000 TL undefined,,Danışman,,,,800m²,,,,,,,,,,3 (metre),,,,,,,,
"Cumhuriyet, Üsküdar
, İstanbul",27.000 TL,22 Haziran 2024,5025464,120,140m²,3+1,2,5,1,Hayır,,26-30 arası,,Eşyasız,Boş,,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ataköy 7-8-9-10. Kısım, Bakırköy
, İstanbul",40.000 TL,21 Haziran 2024,5086227,,,,,,9,Hayır,Merkezi Sistem (Isı Payı Ölçer),4,,,,,0 TL undefined,0 TL (aylık),,,,,80m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dikilitaş, Beşiktaş
, İstanbul",30.000 TL,22 Haziran 2024,5075273,90,105m²,2+1,2,5,Giriş Katı,Hayır,,6-10 arası,,Eşyasız,Kiracılı,,0 TL,250 TL (aylık),,Ters Dubleks,,,,,,,,,,,,,,,,,,,,,
"Selami Ali, Üsküdar
, İstanbul",25.000 TL,22 Haziran 2024,5070706,75,80m²,2+1,1,4,En Üst Kat,Hayır,Kombi (Doğalgaz),31-35 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),Danışman,,,,,,,,,,,,,,,,,,,,,,
"Yenibosna Merkez, Bahçelievler
, İstanbul",47.000 TL,22 Haziran 2024,5074667,,,,,,10,Hayır,,,,,,,0 TL undefined,0 TL (aylık),,,,,200m²,3,,,,,,,,,,,,,,,,,
"Kalenderhane, Fatih
, İstanbul",20.000 TL,22 Haziran 2024,5086429,70,80m²,2+1,1,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murat Reis, Üsküdar
, İstanbul",55.000 TL,22 Haziran 2024,5070711,220,,,,4,Yüksek Giriş,Hayır,Klima,26-30 arası,,,Boş,,0 TL,0 TL (aylık),Danışman,,,Arsa Tapulu,230m²,2,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osmanağa, Kadıköy
, İstanbul",120.000 TL,22 Haziran 2024,4987382,17,,,,6,Giriş Katı,Hayır,Klima,26-30 arası,,,Boş,,240.000 TL undefined,,Danışman,,,,20m²,2,,,,,,,,,,,,,,,,,
"Hırka-i Şerif, Fatih
, İstanbul",70.000 TL,22 Haziran 2024,4840826,220,,,,5,Bodrum Kat,Hayır,Kombi (Doğalgaz),21-25 arası,,,Boş,,60.000 TL undefined,0 TL (aylık),Danışman,,,,240m²,3,,,,,,,,,,,,,,,,,
"Atatürk, Ataşehir
, İstanbul",52.000 TL,22 Haziran 2024,5008540,,,,,,5,Hayır,Merkezi Sistem,21-25 arası,,,,,0 TL,11.550 TL (aylık),,,,,120m²,,,,,,,,,,,,,,,,,,
"Merkez, Avcılar
, İstanbul",11.000 TL,22 Haziran 2024,5074688,35,40m²,1+1,1,10,3,Hayır,Kombi (Doğalgaz),26-30 arası,,Eşyalı (Mobilyalı),Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Ambarlı, Avcılar
, İstanbul",15.000 TL,22 Haziran 2024,5055370,210,225m²,4+2,3,4,Çatı Katı,Hayır,Kombi (Doğalgaz),21-25 arası,,Eşyasız,Boş,Sıfır,15.000 TL undefined,100 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"İnönü, Ataşehir
, İstanbul",15.000 TL,22 Haziran 2024,5075006,50,60m²,1+1,1,5,5,Hayır,,6-10 arası,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maltepe, Zeytinburnu
, İstanbul",26.000 TL,22 Haziran 2024,5086262,45,70m²,1+1,1,10-20 arası,11,Hayır,Merkezi Sistem (Isı Payı Ölçer),5,?,Eşyalı (Mobilyalı),Boş,,,,,,Evet,,,,,,,,,,,,,,,,,,,,
"Firuzköy, Avcılar
, İstanbul",13.500 TL,22 Haziran 2024,5086269,110,120m²,2+1,1,,1,Hayır,Kombi (Doğalgaz),26-30 arası,,,,İkinci El,13.500 TL undefined,50 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Selami Ali, Üsküdar
, İstanbul",45.000 TL,22 Haziran 2024,5070712,130,,,,4,Giriş Katı,Hayır,Yok,0,,,Boş,,0 TL,0 TL (aylık),Danışman,,,,150m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yeniköy, Sarıyer
, İstanbul",35.000 TL,22 Haziran 2024,5024768,90,95m²,2+1,1,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ataköy 7-8-9-10. Kısım, Bakırköy
, İstanbul",50.000 TL,22 Haziran 2024,5074692,,,,,10-20 arası,5,Hayır,Merkezi Sistem,31-35 arası,,,,,0 TL undefined,1.700 TL (aylık),,,,,117m²,3,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yenibosna Merkez, Bahçelievler
, İstanbul",45.000 TL,22 Haziran 2024,5074690,,,,,,2,Hayır,,,,,,,0 TL undefined,8.750 TL (aylık),,,,,200m²,3,,,,,,,,,,,,,,,,,
"Yenibosna Merkez, Bahçelievler
, İstanbul",45.000 TL,22 Haziran 2024,5074691,,,,,,2,Hayır,,,,,,,0 TL undefined,0 TL (aylık),,,,,200m²,3,,,,,,,,,,,,,,,,,
"Kartaltepe, Bakırköy
, İstanbul",25.000 TL,22 Haziran 2024,5074695,72,111m²,2+1,1,6,Bahçe katı,Hayır,Merkezi Sistem,5,,,Boş,,0 TL,4 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Ataköy 7-8-9-10. Kısım, Bakırköy
, İstanbul",185.000 TL,22 Haziran 2024,5074699,320,390m²,7+1,4,4,,Hayır,Kombi (Doğalgaz),31-35 arası,,Eşyalı (Mobilyalı),Boş,,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Yeşilköy, Bakırköy
, İstanbul",135.000 TL,22 Haziran 2024,5074683,200,250m²,3+1,3,3,,Hayır,,31-35 arası,,,Boş,,0 TL undefined,,,,,,,,,,,,,,,,,,,,,,,,
"Çavuşoğlu, Kartal
, İstanbul",20.000 TL,22 Haziran 2024,5025318,,,,,2,1,Hayır,Kombi (Doğalgaz),21-25 arası,,,Boş,,0 TL undefined,0 TL (aylık),Danışman,,,Kat Mülkiyeti,120m²,4,,,,,726,23,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Şenlikköy, Bakırköy
, İstanbul",36.000 TL,22 Haziran 2024,5045802,160,170m²,3+1,2,2,1,Hayır,Kombi (Doğalgaz),21-25 arası,,,Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbasağa, Beşiktaş
, İstanbul",21.000 TL,21 Haziran 2024,5057964,50,55m²,2+1,1,5,Yüksek Giriş,Hayır,Kombi (Doğalgaz),36-40 arası,?,Eşyasız,Boş,İkinci El,30.000 TL undefined,200 TL (aylık),Danışman,Ara Kat,Evet,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",400.000 TL,21 Haziran 2024,4450898,267,352m²,5+1,4,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Sadece Beyaz Eşya,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",300.000 TL,21 Haziran 2024,4450933,252,349m²,4+1,4,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Sadece Beyaz Eşya,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Yeşilkent, Esenyurt
, İstanbul",12.500 TL,21 Haziran 2024,5007891,56,90m²,1+1,1,20 ve üzeri,17,Hayır,Merkezi Sistem (Isı Payı Ölçer),4,?,Sadece Mutfak,Boş,İkinci El,,1.200 TL (aylık),Danışman,Ara Kat,Evet,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",160.000 TL,21 Haziran 2024,5036060,295,320m²,4+1,3,3,Bahçe katı,Hayır,,11-15 arası,,Eşyasız,Boş,,0 TL undefined,67 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",120.000 TL,21 Haziran 2024,5036056,430,500m²,6+2,5,4,Bahçe katı,Hayır,Kombi (Doğalgaz),16-20 arası,,Eşyasız,Boş,,0 TL,6 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",180.000 TL,21 Haziran 2024,5036058,470,500m²,5+2,6 ve üzeri,4,Bahçe katı,Hayır,Kombi (Doğalgaz),0,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",150.000 TL,21 Haziran 2024,5036067,500,550m²,7+3,5,3,Bahçe katı,Hayır,Kombi (Doğalgaz),16-20 arası,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",130.000 TL,21 Haziran 2024,5036078,300,320m²,3+1,3,3,Bahçe katı,Hayır,Kombi (Doğalgaz),5,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",160.000 TL,21 Haziran 2024,5025517,285,320m²,4+1,3,3,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,Boş,İkinci El,320.000 TL undefined,13.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",110.000 TL,21 Haziran 2024,5025526,348,388m²,4+2,3,4,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyalı (Mobilyalı),,İkinci El,220.000 TL undefined,6.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",100.000 TL,21 Haziran 2024,5025529,211,222m²,3+1,3,3,,Hayır,Kombi (Doğalgaz),5,,Eşyalı (Mobilyalı),,İkinci El,200.000 TL undefined,8.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",145.000 TL,21 Haziran 2024,5036070,348,388m²,6+1,3,4,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,Boş,İkinci El,290.000 TL undefined,6.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",100.000 TL,21 Haziran 2024,5025524,380,400m²,4+1,2,3,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,Boş,İkinci El,200.000 TL undefined,1.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",295.000 TL,21 Haziran 2024,5025535,580,650m²,5+2,6 ve üzeri,3,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyalı (Mobilyalı),,İkinci El,590.000 TL undefined,8.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"İçerenköy, Ataşehir
, İstanbul",25.000 TL,21 Haziran 2024,5074504,90,105m²,2+1,1,5,2,Hayır,Kombi (Doğalgaz),26-30 arası,?,Eşyasız,Boş,İkinci El,25.000 TL,150 TL (aylık),Danışman,Ara Kat,,Kat İrtifakı,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caddebostan, Kadıköy
, İstanbul",175.000 TL,21 Haziran 2024,5043310,275,300m²,5+2,6 ve üzeri,10-20 arası,15,Hayır,Merkezi Sistem (Isı Payı Ölçer),4,,Eşyasız,Boş,İkinci El,350.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caddebostan, Kadıköy
, İstanbul",145.000 TL,21 Haziran 2024,5074284,130,170m²,3+1,2,4,Bahçe katı,Hayır,Kombi (Doğalgaz),1,,Eşyasız,Boş,Sıfır,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Göztepe, Kadıköy
, İstanbul",120.000 TL,21 Haziran 2024,5074271,175,230m²,4+1,1,10-20 arası,2,Hayır,Kombi (Doğalgaz),31-35 arası,,Eşyasız,Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Gültepe, Kağıthane
, İstanbul",15.000 TL,21 Haziran 2024,4986447,45,50m²,1+1,1,4,Giriş Katı,Hayır,Kombi (Doğalgaz),26-30 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Şenlikköy, Bakırköy
, İstanbul",60.000 TL,21 Haziran 2024,4986973,,,,,4,1,Hayır,Kombi (Doğalgaz),21-25 arası,,,Boş,,0 TL undefined,0 TL (aylık),,,,,120m²,3,,,,,,,,,,,,,,,,,
"Şenlikköy, Bakırköy
, İstanbul",200.000 TL,21 Haziran 2024,4857299,450,480m²,5+1,4,2,1,Hayır,Kombi (Doğalgaz),21-25 arası,,,Boş,İkinci El,0 TL undefined,0 TL (aylık),,Çatı Dubleksi,,,,,,,,,,,,,,,,,,,,,
"Saray, Ümraniye
, İstanbul",250.000 TL,21 Haziran 2024,4550762,,,,,4,,Hayır,Merkezi Sistem,21-25 arası,,,Mülk Sahibi,İkinci El,,,Danışman,,,Kat Mülkiyeti,1688m²,,1534 (m²),,,Evet,,,,,,780 (m²),,,,,,,
"Ataköy 7-8-9-10. Kısım, Bakırköy
, İstanbul",53.000 TL,21 Haziran 2024,5074170,,,,,,5,Hayır,Merkezi Sistem (Isı Payı Ölçer),4,,,,,0 TL,0 TL (aylık),,,,,103m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yenikent, Esenyurt
, İstanbul",10.000 TL,22 Haziran 2024,4522885,85,,,,3,1,Hayır,Klima,,,,,,,,Danışman,,,,90m²,1,,,,,,,,,,,,,,,,,
"Çavuşoğlu, Kartal
, İstanbul",18.000 TL,22 Haziran 2024,5025118,,,,,,2,Hayır,Kombi (Doğalgaz),21-25 arası,,,Boş,,0 TL,0 TL (aylık),Danışman,,,Kat Mülkiyeti,100m²,3,,,,,726,23,,,,,,,,,,,
"Bahçelievler, Bahçelievler
, İstanbul",50.000 TL,22 Haziran 2024,5086308,100,133m²,3+1,2,10-20 arası,6,Hayır,Klima,11-15 arası,,Eşyasız,Boş,,100.000 TL undefined,3.800 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Temmuz, Bağcılar
, İstanbul",20.000 TL,21 Haziran 2024,5086230,55,85m²,1+1,1,20 ve üzeri,7,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,,Boş,İkinci El,,,,Tek Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telsiz, Zeytinburnu
, İstanbul",100.000 TL,23 Haziran 2024,5076011,400,,,,,,Hayır,,,,,,,,,,,,,450m²,,,,,,,,,,,,,,,,,,
"Yıldıztepe, Bağcılar
, İstanbul",10.000 TL,22 Haziran 2024,5074920,85,90m²,2+1,1,5,1,Hayır,Yok,21-25 arası,,,Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basınköy, Bakırköy
, İstanbul",50.000 TL,21 Haziran 2024,5026267,200,220m²,3+1,1,3,3,Hayır,Kombi (Doğalgaz),21-25 arası,,Eşyasız,Boş,,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",48.500 TL,21 Haziran 2024,5036076,100,120m²,2+1,1,1,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,,İkinci El,97.000 TL undefined,6.400 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ünalan, Üsküdar
, İstanbul",78.000 TL,21 Haziran 2024,5034194,70,102m²,1+1,1,10-20 arası,15,Hayır,Merkezi Sistem,4,,Eşyalı (Mobilyalı),Boş,İkinci El,240.000 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",30.000 TL,21 Haziran 2024,4924121,110,120m²,3+1,1,10-20 arası,4,Hayır,Merkezi Sistem,31-35 arası,?,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Etiler, Beşiktaş
, İstanbul",600.000 TL,22 Haziran 2024,5024912,400,450m²,8+2,3,3,,Hayır,Kombi (Doğalgaz),26-30 arası,?,,Boş,İkinci El,,,Danışman,Tripleks,,Kat Mülkiyeti,,,,,,Evet,,,,,,,Evet,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",550.000 TL,21 Haziran 2024,4450865,525,567m²,5+1,5,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Eşyasız,Boş,İkinci El,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barış, Beylikdüzü
, İstanbul",250.000 TL,22 Haziran 2024,4961521,,,,,3,,Hayır,,,,,Boş,,,,Danışman,,,,2000m²,,2000 (m²),,,Evet,,,,,,,,,,,,,
"Zuhuratbaba, Bakırköy
, İstanbul",55.000 TL,22 Haziran 2024,5074664,105,125m²,3+1,2,5,3,Hayır,Kombi (Doğalgaz),5,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osmanağa, Kadıköy
, İstanbul",12.000 TL,21 Haziran 2024,5045033,,,,,6,6,Hayır,Merkezi Sistem,36-40 arası,,,Boş,,12.000 TL,1.445 TL (aylık),Danışman,,,,35m²,1,,,,,,,,,,,,,,,,,
"Göztepe, Kadıköy
, İstanbul",60.000 TL,21 Haziran 2024,5044481,90,108m²,3+1,1,10,4,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Bostancı, Kadıköy
, İstanbul",900.000 TL,21 Haziran 2024,5034236,500,,,,4,Giriş Katı,Hayır,Merkezi Sistem,0,,,Boş,,0 TL,0 TL (aylık),,,,,900m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yenimahalle, Bağcılar
, İstanbul",8.500 TL,22 Haziran 2024,5075294,14,,,,,,Hayır,Yok,26-30 arası,,,,,0 TL undefined,0 TL (aylık),,,,,15m²,1,,,,,,,,,,,,,,,,,
"Fevzi Çakmak, Esenler
, İstanbul",22.000 TL,22 Haziran 2024,5075055,105,110m²,2+1,1,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Şenlikköy, Bakırköy
, İstanbul",145.000 TL,21 Haziran 2024,5026210,,,,,3,Komple,Hayır,Kombi (Doğalgaz),,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,350m²,7,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basınköy, Bakırköy
, İstanbul",27.500 TL,21 Haziran 2024,5026173,140,150m²,2+1,1,4,Bahçe katı,Hayır,Merkezi Sistem,36-40 arası,,Eşyasız,Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harmandere, Pendik
, İstanbul",20.000 TL,21 Haziran 2024,5045052,55,70m²,1+1,1,9,,Hayır,Kombi (Doğalgaz),5,,Eşyalı (Mobilyalı),Boş,İkinci El,19.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Suadiye, Kadıköy
, İstanbul",950.000 TL,21 Haziran 2024,5074305,770,1000m²,,,5,,Hayır,Kombi (Doğalgaz),0,,,Boş,,0 TL undefined,,,,,,,,,Betonarme,,,,,,,,,,,,,,,
"Orhan Gazi, Esenyurt
, İstanbul",21.000 TL,22 Haziran 2024,4961502,86,122m²,2+1,1,20 ve üzeri,8,Hayır,Merkezi Sistem (Isı Payı Ölçer),1,?,Eşyalı (Mobilyalı),Boş,,50.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
